rank,score,team,org,finish_time
416,0.875157,UnSkilled,"Indian Institute of Technology (IIT), Guwahati",2026-06-30 11:27:57+05:30
417,0.875129,CholeBhature,"Management Development Institute (MDI), Gurgaon",2026-06-30 00:10:32+05:30
418,0.8751,ppandey0050,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 03:34:44+05:30
419,0.875029,pgp25.vikalp,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-04 20:53:44+05:30
420,0.874957,temporary20250817,Indian School of Business (ISB),2026-07-04 19:22:36+05:30
421,0.874814,XXX,"Indian Institute of Technology (IIT), Bombay",2026-07-03 02:05:50+05:30
422,0.874657,sachhuchandwada12,"Indian Institute of Technology (IIT), Delhi",2026-07-02 00:29:49+05:30
422,0.874657,aryanbaranwal131214,"Indian Institute of Technology (IIT), Roorkee",2026-07-03 00:54:31+05:30
423,0.874543,Team_LockedIN,"Indian Institute of Technology (IIT), Kanpur",2026-06-29 17:30:25+05:30
423,0.874543,The Team,"Indian Institute of Management (IIM), Mumbai",2026-07-01 08:47:47+05:30
424,0.8744,pgp25.msohjus,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-04 18:33:47+05:30
425,0.874143,Alpha,"Indian Institute of Technology (IIT), Delhi",2026-07-01 03:49:54+05:30
426,0.873929,elonmusk24082000,"Indian Institute of Management (IIM), Lucknow",2026-07-04 20:44:55+05:30
427,0.8738,Alphas,"Indian Institute of Technology (IIT), Kharagpur",2026-07-04 15:20:27+05:30
428,0.873786,p25priyamb,"Indian Institute of Management (IIM), Indore",2026-07-03 16:57:38+05:30
429,0.873714,nahi dunga,"Birla Institute of Technology & Science, Pilani Campus",2026-07-03 01:44:21+05:30
430,0.873629,krishnasaivangala2311,"Indian Institute of Management (IIM), Ahmedabad",2026-07-02 00:54:31+05:30
431,0.873529,ProjectTriad,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 02:52:08+05:30
432,0.873514,Hogwarts,"Indian Institute of Technology (IIT), Roorkee",2026-07-04 01:44:00+05:30
432,0.873514,yatharth9goyal,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 14:56:48+05:30
433,0.873243,Impact Crew,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-04 20:44:04+05:30
434,0.873143,tingalinga,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 17:31:13+05:30
435,0.873014,stupidmonkey0102,"Birla Institute of Technology & Science, Pilani Campus",2026-07-03 17:37:52+05:30
435,0.873014,saicharan.g646,"Indian Institute of Technology (IIT), Hyderabad",2026-07-04 20:59:37+05:30
436,0.872986,abm22028,"Indian Institute of Management (IIM), Lucknow",2026-07-04 17:41:22+05:30
437,0.872971,tt1230912,"Indian Institute of Technology (IIT), Delhi",2026-07-04 20:14:19+05:30
438,0.872843,Amexstars,"Indian Institute of Management (IIM), Kozhikode",2026-06-30 17:19:03+05:30
438,0.872843,Nightrider,"Indian Institute of Management (IIM), Kozhikode",2026-07-02 03:43:49+05:30
439,0.872386,hinatasattawan57,"Indian Institute of Technology (IIT), Indore",2026-07-03 19:48:00+05:30
440,0.872214,teamrockers12345,"Indian Institute of Technology (IIT), Kharagpur",2026-07-03 00:02:04+05:30
441,0.872186,test2,"Birla Institute of Technology & Science, Pilani Campus",2026-07-01 23:54:17+05:30
441,0.872186,XYZ,"Birla Institute of Technology & Science, Pilani Campus",2026-07-03 19:44:09+05:30
442,0.871829,picshit365,"Indian Institute of Technology (IIT), Roorkee",2026-07-04 20:58:40+05:30
443,0.871386,Super Mario,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-06-30 18:50:42+05:30
444,0.871143,TEAM IIMA,"Indian Institute of Management (IIM), Ahmedabad",2026-06-28 12:12:29+05:30
445,0.871114,Team T,"Xavier School of Management (XLRI), Delhi",2026-07-02 13:37:19+05:30
446,0.870729,let it flow,"Xavier School of Management (XLRI), Jamshedpur",2026-07-01 20:41:01+05:30
446,0.870729,sarveshp23,"Indian Institute of Technology (IIT), Kanpur",2026-07-03 17:52:52+05:30
446,0.870729,clutchers,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 01:42:32+05:30
447,0.870629,Project Blue,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-04 03:44:03+05:30
448,0.870329,modiverse,"Indian Institute of Management (IIM), Lucknow",2026-07-03 02:32:41+05:30
449,0.870057,Night Fury,"Indian Institute of Management (IIM), Kozhikode",2026-06-29 22:18:21+05:30
450,0.869643,Super3,"Indian Institute of Management (IIM), Mumbai",2026-07-01 18:25:06+05:30
450,0.869643,Prahaar,"Indian Institute of Technology (IIT), Kharagpur",2026-07-03 12:20:23+05:30
451,0.869171,pgp25.devansh,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-03 12:53:53+05:30
452,0.868886,ee3230516,"Indian Institute of Technology (IIT), Delhi",2026-07-03 01:37:50+05:30
453,0.868571,Pioneers,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-03 09:29:25+05:30
454,0.868514,800ate5,"Indian Institute of Management (IIM), Mumbai",2026-07-03 04:18:55+05:30
455,0.868329,devsachan23,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 20:57:48+05:30
456,0.868129,StratNom,"Indian Institute of Technology (IIT), Bombay",2026-07-04 16:37:24+05:30
457,0.867929,surreycristopher98,"Indian Institute of Management (IIM), Lucknow",2026-06-30 22:17:08+05:30
457,0.867929,aashutoshk24,"Indian Institute of Technology (IIT), Kanpur",2026-07-01 02:59:38+05:30
458,0.8679,GP,Chennai Mathematical Institute,2026-07-01 17:27:23+05:30
459,0.867829,ronaldray2410,"Indian Institute of Management (IIM), Lucknow",2026-07-01 00:05:30+05:30
460,0.867729,Insights Mavericks,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-04 19:53:52+05:30
461,0.867586,vibhorpandey09,"Birla Institute of Technology & Science, Pilani Campus",2026-06-28 13:59:40+05:30
462,0.867214,Abhishek,Chennai Mathematical Institute,2026-06-30 19:20:19+05:30
463,0.866571,Bengal Consulting Group (BeCG),"Indian Institute of Technology (IIT), Kharagpur",2026-07-03 11:54:33+05:30
464,0.866357,mbjain2005,"Indian Institute of Technology (IIT), Kanpur",2026-07-03 22:48:29+05:30
465,0.866129,asteroids,"Xavier School of Management (XLRI), Delhi",2026-07-02 02:46:28+05:30
466,0.865886,team insight,"Management Development Institute (MDI), Gurgaon",2026-06-29 16:26:07+05:30
467,0.865814,Arctic_Bandars,"Indian Institute of Technology, Indian School of Mines (IIT ISM), Dhanbad",2026-07-04 00:04:13+05:30
468,0.865571,CTE,"Indian Institute of Technology (IIT), Kharagpur",2026-07-04 14:15:49+05:30
469,0.865086,aanchal_gulia.23,"Indian Institute of Technology (IIT), Kharagpur",2026-07-04 09:15:49+05:30
469,0.865086,akashbudhwar13129,"Indian Institute of Technology (IIT), Kharagpur",2026-07-04 13:14:43+05:30
470,0.864729,ic24btech11016,"Indian Institute of Technology (IIT), Hyderabad",2026-07-01 19:49:47+05:30
471,0.864643,Dealmaker,"Indian Institute of Technology (IIT), Kharagpur",2026-07-04 10:30:22+05:30
472,0.864571,Vanguard,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-04 16:57:48+05:30
473,0.864471,AzureTrip,"Department of Management Studies (DMS), Indian Institute of Technology (IIT), Delhi",2026-06-30 17:56:35+05:30
474,0.864357,The AmExperts,"Management Development Institute (MDI), Gurgaon",2026-06-30 03:33:42+05:30
475,0.863714,Naruto,"Indian Institute of Technology (IIT), Kharagpur",2026-07-04 17:35:08+05:30
476,0.863686,Amex Factor,"Indian Institute of Management (IIM), Mumbai",2026-07-04 01:52:27+05:30
477,0.863629,thisisdeepikamust77,"Indian Institute of Management (IIM), Calcutta",2026-07-03 17:07:09+05:30
478,0.863229,Symban,"Management Development Institute (MDI), Gurgaon",2026-07-04 20:07:36+05:30
479,0.862729,AMEX ALPHA,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-04 11:21:42+05:30
480,0.862229,mdeepika1977,"Indian Institute of Management (IIM), Bangalore",2026-07-01 13:57:24+05:30
481,0.862171,Centurion,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-06-30 19:09:51+05:30
482,0.861986,chiraag_mk,"Indian Institute of Technology (IIT), Roorkee",2026-07-04 00:26:50+05:30
483,0.861943,Team Alpha,"Indian Institute of Management (IIM), Lucknow",2026-07-03 02:24:07+05:30
484,0.861914,catalysts,"Indian Institute of Technology (IIT), Kharagpur",2026-07-03 02:28:32+05:30
485,0.860843,aakarsh164,"Indian Institute of Technology (IIT), Roorkee",2026-07-04 16:08:38+05:30
485,0.860843,shanmukhsharma24,"Indian Institute of Management (IIM), Lucknow",2026-07-04 16:17:13+05:30
486,0.860614,AAA,"Indian Institute of Management (IIM), Mumbai",2026-07-04 17:01:57+05:30
487,0.860043,Shinkansen,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-04 20:29:54+05:30
488,0.860029,TEAMX,"Indian Institute of Technology (IIT), Guwahati",2026-06-30 19:08:05+05:30
488,0.860029,k.anumula,"Indian Institute of Technology (IIT), Guwahati",2026-06-30 22:29:23+05:30
489,0.859786,p25ayana,"Indian Institute of Management (IIM), Indore",2026-07-03 16:32:47+05:30
490,0.859757,sachin919patel,"Indian Institute of Technology (IIT), Kharagpur",2026-06-30 10:09:36+05:30
491,0.859529,Rank1,"Indian Institute of Management (IIM), Bangalore",2026-07-01 11:56:23+05:30
492,0.859471,b25318,"Xavier School of Management (XLRI), Delhi",2026-06-29 00:58:33+05:30
493,0.859343,Motionz,"Department of Management Studies (DMS), Indian Institute of Technology (IIT), Delhi",2026-07-02 02:10:24+05:30
494,0.859229,nimishgup33,"Delhi School of Economics (DSE), New Delhi",2026-07-02 13:44:19+05:30
495,0.859129,akshatjainbakliwal01,"Indian Institute of Technology (IIT), Roorkee",2026-07-03 12:38:11+05:30
496,0.859071,Nucleus,"Xavier School of Management (XLRI), Delhi",2026-06-29 01:28:47+05:30
497,0.858886,dakshr05384,"Delhi School of Economics (DSE), New Delhi",2026-07-04 13:10:56+05:30
498,0.858571,GforGang,"Indian Institute of Management (IIM), Lucknow",2026-07-04 20:37:24+05:30
499,0.858371,huhhh,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-02 03:28:01+05:30
499,0.858371,team outliers,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-02 13:48:25+05:30
500,0.858157,techygiants,"Management Development Institute (MDI), Gurgaon",2026-06-30 18:09:41+05:30
501,0.857686,Team35,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-04 01:18:46+05:30
502,0.857371,Minions,"Indian Institute of Technology (IIT), Kharagpur",2026-07-04 01:52:25+05:30
503,0.857071,nisarg24,"Indian Institute of Technology (IIT), Kanpur",2026-07-03 15:55:15+05:30
503,0.857071,deepikamusthyala,"Indian Institute of Management (IIM), Ahmedabad",2026-07-04 03:20:20+05:30
504,0.857014,yogeeta.vensiani,"Department of Management Studies (DMS), Indian Institute of Technology (IIT), Delhi",2026-07-02 19:15:08+05:30
505,0.856986,TNT,"Indian Institute of Management (IIM), Mumbai",2026-07-01 01:13:01+05:30
506,0.856643,japesh_c,"Indian Institute of Technology (IIT), Roorkee",2026-07-04 03:24:30+05:30
507,0.856329,ava.30597,"Indian Institute of Management (IIM), Bangalore",2026-07-04 18:48:27+05:30
508,0.856129,ROCK,"Indian Institute of Management (IIM), Mumbai",2026-06-30 12:22:37+05:30
508,0.856129,I dont know who I am,"Indian Institute of Technology (IIT), Kanpur",2026-07-03 04:15:43+05:30
509,0.855986,jhavaishnavi25,"Indian Institute of Technology, Banaras Hindu University (IIT - BHU)",2026-07-03 15:44:12+05:30
510,0.855843,Stratobots,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-04 19:22:41+05:30
511,0.8557,Team AMEXL,"Indian Institute of Management (IIM), Lucknow",2026-07-04 18:38:34+05:30
512,0.8556,PLACERS,"Indian Institute of Technology, Banaras Hindu University (IIT - BHU)",2026-07-03 14:43:51+05:30
513,0.855486,roushan111204,"Indian Institute of Technology (IIT), Kharagpur",2026-07-03 21:30:50+05:30
514,0.855286,GreedyGrunders,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 16:30:52+05:30
515,0.854614,23043510046,"Management Development Institute (MDI), Gurgaon",2026-07-03 18:24:19+05:30
516,0.854543,Transaction Declined,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-02 14:39:57+05:30
517,0.853929,urvijoshi496,"Indian Institute of Management (IIM), Bangalore",2026-07-02 20:45:06+05:30
518,0.8538,Maverick,Indian School of Business (ISB),2026-07-04 19:40:49+05:30
519,0.853586,Winners,"Indian Institute of Technology (IIT), Guwahati",2026-07-04 17:22:08+05:30
520,0.853386,AVENGERS,"Indian Institute of Technology (IIT), Kanpur",2026-06-29 12:38:19+05:30
521,0.852671,Binary Bandits,"Indian Institute of Technology (IIT), Kharagpur",2026-06-29 21:06:37+05:30
522,0.852614,CaseForce,Xavier School of Management (XLRI),2026-07-01 18:10:41+05:30
523,0.852314,WeLoveChaggi,"Indian Institute of Technology (IIT), Delhi",2026-07-03 16:34:33+05:30
524,0.852157,spoiderboys,"Indian Institute of Technology (IIT), Kharagpur",2026-07-03 15:46:20+05:30
525,0.852114,Waycraft,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-04 16:33:25+05:30
526,0.8518,Natus Vincere,Indian School of Business (ISB),2026-06-30 20:47:03+05:30
527,0.851514,mba25aashish,"Indian Institute of Management (IIM), Kozhikode",2026-07-02 00:26:31+05:30
528,0.851286,Team Phoenix,"Department of Management Studies (DMS), Indian Institute of Technology (IIT), Delhi",2026-07-04 00:02:09+05:30
529,0.850043,indiepirate,"Birla Institute of Technology & Science, Pilani Campus",2026-07-04 17:21:44+05:30
530,0.849729,Silver Arrows,"Indian Institute of Management (IIM), Mumbai",2026-07-02 22:07:15+05:30
531,0.8497,Amex on the beach,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-02 01:04:40+05:30
532,0.849671,lazyloosers,"Indian Institute of Technology (IIT), Guwahati",2026-07-04 19:04:48+05:30
533,0.849243,Tibetan Houses,"Indian Institute of Technology (IIT), Kharagpur",2026-06-30 07:53:45+05:30
534,0.849,Sherlock,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-06-29 21:02:12+05:30
535,0.848457,b25346,"Xavier School of Management (XLRI), Delhi",2026-07-04 01:11:29+05:30
536,0.848214,amit.3013,"Indian Institute of Technology (IIT), Guwahati",2026-06-30 15:35:05+05:30
537,0.848029,p25shubhamv,"Indian Institute of Management (IIM), Indore",2026-07-03 11:55:32+05:30
538,0.847757,AMEX WINNER,"Indian Institute of Technology (IIT), Guwahati",2026-07-02 08:58:50+05:30
539,0.8477,SPamex,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-03 17:36:55+05:30
540,0.847657,Trifacta,"Vinod Gupta School of Management (VGSoM), Indian Institute of Technology (IIT), Kharagpur",2026-07-04 17:17:46+05:30
541,0.847429,The finaAL,"Indian Institute of Technology, Indian School of Mines (IIT ISM), Dhanbad",2026-07-02 08:23:58+05:30
542,0.847343,Strategy for All,"Indian Institute of Management (IIM), Lucknow",2026-07-04 20:01:39+05:30
543,0.8473,TeamISM,"Indian Institute of Technology, Indian School of Mines (IIT ISM), Dhanbad",2026-07-03 20:18:29+05:30
544,0.847057,Material Girls,"Indian Institute of Technology (IIT), Kanpur",2026-07-01 21:06:12+05:30
545,0.847,BluePeak,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-03 18:56:01+05:30
546,0.846929,pokerball488,"Birla Institute of Technology & Science, Pilani Campus",2026-06-29 11:56:49+05:30
547,0.846843,VCE,"Indian Institute of Technology (IIT), Hyderabad",2026-06-29 11:49:29+05:30
548,0.846757,b25117,"Xavier School of Management (XLRI), Jamshedpur",2026-07-03 19:54:32+05:30
549,0.846743,riyaarah,"Indian Institute of Technology (IIT), Madras",2026-06-29 12:48:18+05:30
550,0.846643,ed22b039,"Indian Institute of Technology (IIT), Madras",2026-07-04 18:42:07+05:30
551,0.846571,YashChoukikar,"Indian Institute of Technology (IIT), Mandi",2026-07-01 18:16:11+05:30
552,0.846514,Amexx,"Birla Institute of Technology & Science, Pilani Campus",2026-07-02 13:25:03+05:30
552,0.846514,amexx first,"Indian Institute of Technology (IIT), Delhi",2026-07-03 22:20:03+05:30
553,0.846229,amitp2027,"Indian Institute of Management (IIM), Calcutta",2026-07-02 12:14:18+05:30
554,0.8461,rushikeshgulve10,"Indian Institute of Management (IIM), Lucknow",2026-07-04 15:13:26+05:30
555,0.846014,vivekfcciith3,"Birla Institute of Technology & Science, Pilani Campus",2026-07-03 01:19:52+05:30
556,0.845986,Impact_Initiators,"Birla Institute of Technology & Science, Pilani Campus",2026-06-30 14:47:44+05:30
557,0.845629,Dumb and Dumber,"Indian Institute of Technology (IIT), Guwahati",2026-07-03 22:47:42+05:30
558,0.845457,flyhigher,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-02 11:45:40+05:30
559,0.845157,AVENGERS,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-04 18:55:10+05:30
559,0.845157,ISBFrontier,Indian School of Business (ISB),2026-07-04 20:08:20+05:30
560,0.844971,b25397,"Xavier School of Management (XLRI), Delhi",2026-07-04 19:45:36+05:30
561,0.844771,Cash me if you can,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-04 00:59:17+05:30
562,0.844714,Penaldo,"Indian Institute of Technology (IIT), Delhi",2026-07-02 18:22:44+05:30
563,0.844143,Formula 3,"Indian Institute of Management (IIM), Indore",2026-07-04 12:27:31+05:30
564,0.844,Metric Minds,"Indian Institute of Technology, Banaras Hindu University (IIT - BHU)",2026-07-02 12:10:02+05:30
565,0.8437,Ohjus,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-04 00:05:48+05:30
566,0.843629,krishna.udupi.2025,"Birla Institute of Technology & Science, Pilani Campus",2026-07-02 13:43:37+05:30
567,0.8434,BomboClat!,"Indian Institute of Technology, Banaras Hindu University (IIT - BHU)",2026-07-03 16:42:02+05:30
568,0.843157,The XLerators,"Xavier School of Management (XLRI), Jamshedpur",2026-06-29 19:34:08+05:30
569,0.843086,aarav.tyagi,"Indian Institute of Management (IIM), Mumbai",2026-07-01 01:34:53+05:30
570,0.843014,sonisiddhant,"Indian Institute of Technology (IIT), Kharagpur",2026-07-03 21:58:59+05:30
571,0.842986,ZZZZ,"Indian Institute of Technology (IIT), Delhi",2026-07-03 01:06:30+05:30
572,0.8428,Team alpha,"Indian Institute of Management (IIM), Lucknow",2026-07-04 01:15:20+05:30
573,0.842743,Neural Navigators,"Indian Institute of Technology (IIT), Kharagpur",2026-07-02 01:13:09+05:30
574,0.842671,abhishek7,"Indian Institute of Technology (IIT), Roorkee",2026-07-02 19:03:05+05:30
574,0.842671,Cibil.in,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-04 14:32:45+05:30
575,0.842229,Joka Centurions,"Indian Institute of Management (IIM), Calcutta",2026-06-30 03:03:55+05:30
576,0.842129,parmarparul684,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 04:15:48+05:30
577,0.841729,smf256624,"Department of Management Studies (DMS), Indian Institute of Technology (IIT), Delhi",2026-07-03 13:23:46+05:30
578,0.841443,Perceptron,"Indian Institute of Technology (IIT), Guwahati",2026-07-03 23:53:17+05:30
579,0.8414,f20221585,"Birla Institute of Technology & Science, Pilani Campus",2026-07-02 15:22:37+05:30
580,0.841314,mpatra0719,"Birla Institute of Technology & Science, Pilani Campus",2026-07-04 01:16:08+05:30
581,0.841171,b25206,"Xavier School of Management (XLRI), Jamshedpur",2026-06-30 02:53:31+05:30
582,0.840743,iwin,"Indian Institute of Technology (IIT), Bombay",2026-07-03 12:38:47+05:30
583,0.839986,meow meow,"Indian Institute of Management (IIM), Mumbai",2026-07-04 13:21:13+05:30
584,0.839257,StratEdge,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 17:07:43+05:30
585,0.839029,Smooth Operators,"Indian Institute of Management (IIM), Mumbai",2026-07-02 00:01:01+05:30
586,0.839014,Team Catalyst,"Indian Institute of Technology (IIT), Indore",2026-07-04 12:30:35+05:30
587,0.838671,TRIDENT,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-04 01:45:29+05:30
588,0.838386,AMEX-PERTS,"Indian Institute of Management (IIM), Mumbai",2026-07-04 20:19:26+05:30
589,0.8381,pgp42150,"Indian Institute of Management (IIM), Lucknow",2026-07-04 16:06:00+05:30
590,0.837957,Data Nerd,"Indian Institute of Technology (IIT), Kharagpur",2026-07-03 23:52:44+05:30
591,0.837543,Navjaat Shishu,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-02 15:30:05+05:30
592,0.837357,tsidhant22,"Indian Institute of Technology (IIT), Kanpur",2026-07-01 10:38:19+05:30
593,0.837343,nareshr,"Indian Institute of Technology (IIT), Kharagpur",2026-06-28 01:45:34+05:30
594,0.837286,Cashalysts,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-04 15:34:59+05:30
595,0.8372,Spartans,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-03 00:03:50+05:30
596,0.836743,data_spree,"Indian Institute of Management (IIM), Bangalore",2026-07-03 20:35:04+05:30
597,0.836514,MightyBITSians,"Birla Institute of Technology & Science, Pilani Campus",2026-07-04 20:27:21+05:30
598,0.836414,gimmeintern,"Indian Institute of Technology (IIT), Kharagpur",2026-07-04 14:09:20+05:30
599,0.836271,Survey Corps,"Indian Institute of Technology (IIT), Guwahati",2026-07-03 23:26:46+05:30
600,0.836057,Unchartd,"Indian Institute of Technology (IIT), Delhi",2026-07-01 23:46:01+05:30
601,0.835814,sonidarshana60,"Indian Institute of Technology (IIT), Bombay",2026-07-03 22:22:45+05:30
602,0.835186,s.suramya,"Indian Institute of Technology (IIT), Guwahati",2026-07-02 18:24:12+05:30
603,0.835043,relictus1710,"Indian Institute of Management (IIM), Calcutta",2026-07-04 17:09:06+05:30
604,0.834729,ph1231114,"Indian Institute of Technology (IIT), Delhi",2026-07-03 15:05:51+05:30
605,0.834257,aryan.bajaj.met22,"Indian Institute of Technology, Banaras Hindu University (IIT - BHU)",2026-07-01 13:21:35+05:30
606,0.833914,Blue Horizon,"Management Development Institute (MDI), Gurgaon",2026-07-04 00:14:17+05:30
607,0.832843,Impact,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-04 11:22:33+05:30
608,0.832557,ashmitsh4rma,"Birla Institute of Technology & Science, Pilani Campus",2026-07-04 00:32:07+05:30
609,0.832457,santoshjais40,"Birla Institute of Technology & Science, Pilani Campus",2026-07-03 15:41:27+05:30
610,0.831657,mba25shreya,"Indian Institute of Management (IIM), Kozhikode",2026-07-04 00:41:23+05:30
611,0.831543,Blue Winners,"Department of Management Studies (DMS), Indian Institute of Technology (IIT), Delhi",2026-07-04 02:07:39+05:30
612,0.831514,Texsics,"Indian Institute of Technology (IIT), Delhi",2026-07-03 08:34:55+05:30
613,0.8312,b25198,"Xavier School of Management (XLRI), Jamshedpur",2026-07-02 04:27:26+05:30
614,0.831057,W Consulting,"Xavier School of Management (XLRI), Jamshedpur",2026-07-01 02:18:11+05:30
615,0.8309,heyprateek673,"Indian Institute of Technology (IIT), Roorkee",2026-07-03 07:38:46+05:30
616,0.830629,23b0746,"Indian Institute of Technology (IIT), Bombay",2026-07-03 16:44:15+05:30
617,0.829529,JODDDD,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-04 16:34:32+05:30
618,0.8294,Dolo 650,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-04 21:00:01+05:30
619,0.829157,dhakarharshita2006,"Indian Institute of Technology (IIT), Kanpur",2026-07-01 01:46:52+05:30
620,0.829114,meena.kailashi20,"Indian Institute of Technology (IIT), Kanpur",2026-07-03 12:38:05+05:30
621,0.829086,pgp25.shreyashk,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-03 19:39:32+05:30
622,0.828957,Team Ascend,"Indian Institute of Management (IIM), Mumbai",2026-07-02 01:27:52+05:30
623,0.828514,Falcon 9,"Indian Institute of Management (IIM), Mumbai",2026-07-03 04:03:52+05:30
624,0.8285,Inferno,"Indian Institute of Management (IIM), Mumbai",2026-07-03 16:34:58+05:30
625,0.827686,Hawkss,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-06-29 19:28:33+05:30
626,0.827643,Nexus,"Indian Institute of Technology (IIT), Kanpur",2026-07-03 23:35:01+05:30
627,0.8276,jaigupta2208,"Indian Institute of Technology, Indian School of Mines (IIT ISM), Dhanbad",2026-07-04 19:48:34+05:30
628,0.827486,Night Managers,"Indian Institute of Management (IIM), Lucknow",2026-07-04 13:49:43+05:30
629,0.8271,pghr25devansh_s,"Management Development Institute (MDI), Gurgaon",2026-07-03 16:28:29+05:30
630,0.827071,Strat_thinker,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 20:51:37+05:30
631,0.826871,ThanosApple,"Indian Institute of Technology (IIT), Kharagpur",2026-07-02 22:57:13+05:30
632,0.826857,heisenberg,"Indian Institute of Technology (IIT), Kharagpur",2026-06-30 18:16:51+05:30
633,0.8268,p26adityam,"Indian Institute of Management (IIM), Indore",2026-07-03 11:32:31+05:30
634,0.825829,Team Apex,"Xavier School of Management (XLRI), Delhi",2026-07-04 20:03:47+05:30
635,0.825529,XLWarriors,"Xavier School of Management (XLRI), Delhi",2026-07-03 12:02:45+05:30
636,0.825414,Mad_Bankers,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 15:58:13+05:30
637,0.824886,YK Storm,"Shailesh J. Mehta School of Management (SJMSOM), IIT Bombay",2026-07-03 02:09:49+05:30
638,0.824714,LAVA,"Indian Institute of Technology (IIT), Delhi",2026-07-03 02:16:07+05:30
639,0.824629,INDex,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-04 14:39:12+05:30
640,0.824557,cs1230600,"Indian Institute of Technology (IIT), Delhi",2026-07-03 22:23:35+05:30
641,0.8243,f20231025,"Birla Institute of Technology & Science, Pilani Campus",2026-07-04 19:34:23+05:30
642,0.824086,Elite Edge,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-01 23:45:48+05:30
643,0.823229,Phoenix,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-04 19:44:39+05:30
644,0.8228,P-Valuables,"Management Development Institute (MDI), Gurgaon",2026-07-04 18:04:33+05:30
645,0.822486,BITSxAmex,"Birla Institute of Technology & Science, Pilani Campus",2026-07-03 00:24:06+05:30
646,0.822443,Lucknow Winners,"Indian Institute of Management (IIM), Lucknow",2026-07-04 15:49:16+05:30
647,0.822043,Team Casecraft,"Indian Institute of Management (IIM), Kozhikode",2026-07-03 00:34:39+05:30
648,0.821371,badmos,"Indian Institute of Technology (IIT), Delhi",2026-07-04 15:05:40+05:30
649,0.821214,me1230564,"Indian Institute of Technology (IIT), Delhi",2026-07-02 17:09:44+05:30
650,0.820914,CPSS,"Indian Institute of Technology (IIT), Roorkee",2026-07-01 19:52:33+05:30
651,0.819971,neverburden,"Indian Institute of Management (IIM), Calcutta",2026-07-03 10:39:03+05:30
651,0.819971,iiitians at iim,"Indian Institute of Management (IIM), Mumbai",2026-07-03 10:42:09+05:30
652,0.819314,ch1230618,"Indian Institute of Technology (IIT), Delhi",2026-07-02 15:46:13+05:30
653,0.818286,Amex Trixkster,"Indian Institute of Technology, Indian School of Mines (IIT ISM), Dhanbad",2026-07-02 00:14:07+05:30
